"","lon","lat"
"725",-80.3047846,40.6953437
"726",-84.2807329,30.4382559
"727",-86.39027,35.8456213
"728",-93.097702,41.8780025
"729",-0.448632,51.753241
"730",-82.9987942,39.9611755
"731",110.3592127,1.5532783
"732",-77.0368707,38.9071923
"733",-106.346771,56.130366
"734",-82.3246094,37.6061055
"735",0.290472,50.768035
"736",-86.2519898,41.6763545
"737",-94.1632404,45.5579451
"738",-7.6920536,53.1423672
"739",-106.346771,56.130366
"740",-88.425573,42.2941536
"741",-95.712891,37.09024
"742",-75.6971931,45.4215296
"743",-77.1945247,41.2033216
"744",-73.6170721,41.3973163
"745",133.775136,-25.274398
"746",-74.4056612,40.0583238
"747",18.643501,60.128161
"748",-95.712891,37.09024
"749",-85.6023643,44.3148443
"750",-95.712891,37.09024
"751",-86.5804473,35.5174913
"752",-77.6128039,43.0592452
"753",-71.3161718,42.6334247
"754",-77.0909809,38.8816208
"755",-95.9359977,36.7435531
"756",-86.1066526,39.6136578
"757",-90.704279,35.8422967
"758",-77.319091,35.581271
"759",-87.6297982,41.8781136
"760",5.291266,52.132633
"761",-71.797928,21.694025
"762",-122.3320708,47.6062095
"763",-86.7816016,36.1626638
"764",-112.0740373,33.4483771
"765",-73.9745201,40.7522507
"766",-96.6783449,34.774531
"767",45.079162,23.885942
"768",-111.0937311,34.0489281
"769",-91.8318334,35.20105
"770",-76.6412712,39.0457549
"771",-95.6400855,37.0329949
"772",73.7898023,19.9974533
"773",-87.6297982,41.8781136
"774",-73.7562317,42.6525793
"775",-118.53771,34.422531
"776",-95.3553688,29.7552928
"777",-86.5804473,35.5174913
"778",-82.907123,40.4172871
"779",-99.9018131,31.9685988
"780",-99.9018131,31.9685988
"781",-90.1994042,38.6270025
"783",9.3501336,48.6616037
"784",-95.712891,37.09024
"785",-93.7501789,32.5251516
"786",-75.5243682,39.158168
"788",-83.1649001,29.5207227
"789",-71.0786653,42.5750939
"790",-93.2650108,44.977753
"791",-72.5578799,41.9161361
"792",-95.4566136,31.3182359
"793",-95.712891,37.09024
"794",-0.0966514,51.3763334
"795",-1.3289821,54.5704551
"796",-86.1349019,40.2671941
"797",-71.3824374,42.4072107
"798",-89.6811799,41.8019705
"799",-80.1917902,25.7616798
"800",-0.1277583,51.5073509
"802",-76.3452218,37.0298687
"803",139.7059354,35.6901268
"804",-81.1637245,33.836081
"805",-84.5120196,39.1031182
"806",105.318756,61.52401
"807",-77.0368707,38.9071923
"808",-86.4808043,36.9685219
"809",77.2090212,28.6139391
"810",-100.3161126,25.6866142
"811",-73.9170604,40.6957755
"813",-73.567256,45.5016889
"814",-0.137163,50.82253
"815",-91.9623327,30.9842977
"816",-69.4454689,45.253783
"817",-62.782998,17.357822
"818",-73.9712488,40.7830603
"819",-1.61778,54.978252
"821",-95.3698028,29.7604267
"822",-97.1383744,49.895136
"823",-86.7816016,36.1626638
"825",-76.8867008,40.2731911
"826",110.3694896,-7.7955798
"829",-86.158068,39.768403
"831",-78.8783689,42.8864468
"832",-73.9761684,40.7619634
"833",0.891874,51.895927
"834",8.541694,47.3768866
"835",113.921327,-0.789275
"836",-1.61778,54.978252
"837",115.8604572,-31.9505269
"838",-88.8183872,33.4503998
"839",-6.2603097,53.3498053
"843",-84.5120196,39.1031182
"844",-80.8431267,35.2270869
"845",-82.9987942,39.9611755
"846",36.8219462,-1.2920659
"848",139.7319925,35.7090259
"849",-71.8245352,44.4178365
"851",-74.0059728,40.7127753
"852",101.518461,3.073281
"853",-0.52039,51.885644
