"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3078","@EconguyRosie When the USA catches a cold, the world catches the flu.",FALSE,0,"EconguyRosie",2019-03-07 09:20:00,FALSE,"1102565810101542914","1103586082329948160","939121727581208576","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndreGBernhardt",0,FALSE,FALSE,NA,NA
"3082","@goldchain_flu I mean it's the best cake ever",FALSE,0,"goldchain_flu",2019-03-07 09:18:39,FALSE,"1103499256319623174","1103585742926893056","21615858","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DancingForNic",0,FALSE,FALSE,NA,NA
"3083","@nkolewanseko <U+0001F602><U+0001F602> it depends on the mood ine, so I have flu apa and I had some lumanda yesterday <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>",FALSE,0,"nkolewanseko",2019-03-07 09:18:16,FALSE,"1103546704190758912","1103585648668278784","606166071","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bwalyaf2",0,FALSE,FALSE,NA,NA
"3085","@e_fatt @ShannonSharpe Utah Jazz has 2 HOFS... 60+wins team..  Just like the Bulls team Not counting Jordan of cour… https://t.co/zrZDDD3zj9",FALSE,0,"e_fatt",2019-03-07 09:17:42,TRUE,"1103281552908267521","1103585506267484162","1001292027139682304","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MurdaMink",0,FALSE,FALSE,NA,NA
"3087","Nout worse than flu",FALSE,1,NA,2019-03-07 09:17:20,FALSE,NA,"1103585412176588800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lukeyfoster04",0,FALSE,FALSE,NA,NA
"3089","@rabiasquared The stomach flu is strong this season....<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>",FALSE,0,"rabiasquared",2019-03-07 09:17:04,FALSE,"1103492933439967232","1103585343431794688","2209742392","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","compvla",0,FALSE,FALSE,NA,NA
"3090","Flu in this heat<U+0001F62D><U+0001F62D> stay strong https://t.co/I3h25eGpaE",FALSE,0,NA,2019-03-07 09:16:35,FALSE,NA,"1103585223328088064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miss_sboo",0,FALSE,FALSE,NA,NA
"3092","Sick, with the flu, go ahead with the miraculous soup! #flu #soup #soupe #zucchini #broth #chickenbroth #egg #eggs… https://t.co/39RB71UNkv",FALSE,0,NA,2019-03-07 09:16:13,TRUE,NA,"1103585128943681537",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Cate2105",1,FALSE,FALSE,NA,NA
"3093","Warm honey lemon for flu <U+0001F927>",FALSE,0,NA,2019-03-07 09:15:59,FALSE,NA,"1103585072060354560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmnh_",0,FALSE,FALSE,NA,NA
"3094","me, having a mildly bad cough and flu: *drinks iced mocha*",FALSE,1,NA,2019-03-07 09:15:55,FALSE,NA,"1103585053714526209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yukiferru",0,FALSE,FALSE,NA,NA
"3095","@therealgokwan <U+0001F622>not feeling very bright, flu has taken up residence",FALSE,0,"therealgokwan",2019-03-07 09:15:39,FALSE,"1103563192788226048","1103584986794520576","47287431","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","vegasbaby2012",0,FALSE,FALSE,NA,NA
"3096","Top Strains Suggested by Medical Marijuana Doctors for Cold and Flu. https://t.co/uJQ76DPDiS https://t.co/6n1GZJvF6K",FALSE,1,NA,2019-03-07 09:15:34,FALSE,NA,"1103584965684420608",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","420Cyber",0,FALSE,FALSE,NA,NA
"3099","I have flu :c",FALSE,0,NA,2019-03-07 09:14:55,FALSE,NA,"1103584803142684672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","littleextra_",0,FALSE,FALSE,NA,NA
"3100","Everyday Practices to Prevent Swine Flu - Healthwealthbridge https://t.co/et9DJb9NJ3 #ssbblogbooster",FALSE,0,NA,2019-03-07 09:14:48,FALSE,NA,"1103584773526609920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drbushra_aatw",0,FALSE,FALSE,NA,NA
"3101","Co want but my flu won't let me <U+0001F62D> https://t.co/Vq4XSueu4c",FALSE,0,NA,2019-03-07 09:14:40,FALSE,NA,"1103584742174322688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucrie17",0,FALSE,FALSE,NA,NA
